    ,used_algorithm                                   ,name_of_src_file           ,full_cost         ,hamiltonian_cycle_cost,best_way
4529,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_99_N_4.json ,2288.003500402548 ,2288.003500402548     ,"[0, 2, 3, 1, 0]"
4530,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_0_N_5.json  ,5247.002694950534 ,5247.002694950534     ,"[0, 2, 3, 1, 4, 0]"
4531,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_1_N_5.json  ,5610.816238948362 ,5610.816238948362     ,"[0, 1, 4, 2, 3, 0]"
4532,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_2_N_5.json  ,3245.177303203217 ,3245.177303203217     ,"[0, 3, 2, 1, 4, 0]"
4533,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_3_N_5.json  ,4065.570992540409 ,4065.5709925404094    ,"[0, 1, 4, 2, 3, 0]"
4534,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_4_N_5.json  ,4188.148330565064 ,4188.148330565064     ,"[0, 1, 2, 4, 3, 0]"
4535,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_5_N_5.json  ,4834.977298453686 ,4834.977298453687     ,"[0, 2, 3, 4, 1, 0]"
4536,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_6_N_5.json  ,5480.378042322208 ,5480.378042322209     ,"[0, 2, 4, 1, 3, 0]"
4537,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_7_N_5.json  ,3991.225265370968 ,3991.225265370968     ,"[0, 2, 1, 3, 4, 0]"
4538,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_8_N_5.json  ,4884.984619751125 ,4884.984619751126     ,"[0, 2, 1, 4, 3, 0]"
4539,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_9_N_5.json  ,5222.951586109288 ,5222.951586109288     ,"[0, 1, 2, 4, 3, 0]"
4540,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_10_N_5.json ,3174.0128722731847,3174.0128722731847    ,"[0, 1, 2, 3, 4, 0]"
4541,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_11_N_5.json ,3433.672429037634 ,3433.672429037634     ,"[0, 1, 3, 4, 2, 0]"
4542,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_12_N_5.json ,4966.089723953977 ,4966.089723953977     ,"[0, 2, 1, 4, 3, 0]"
4543,dynamic_programing_exact_held_karp_lib_python_tsp,TSP_CITIES_SET_13_N_5.json ,4513.547865875393 ,4513.547865875393     ,"[0, 1, 2, 3, 4, 0]"
