number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,utilization_of_cpu,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,2138.4694210788257,2138.4694210788257,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2138.4694210788252,ps5,"{'suffix': 'ps5', 'perturbation_scheme': 'ps5'}",[],nan,nan,nan,nan,0.00032480000000001397,nan,nan,nan,nan,nan,nan
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,2138.4694210788257,2138.4694210788257,"[0, 3, 2, 1, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2138.4694210788252,ps6,"{'suffix': 'ps6', 'perturbation_scheme': 'ps6'}",[],nan,nan,nan,nan,0.00030609999999997584,nan,nan,nan,nan,nan,nan
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,2138.4694210788257,2138.4694210788257,"[0, 3, 2, 1, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2138.4694210788252,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[],nan,nan,nan,nan,0.0002884999999999138,nan,nan,nan,nan,nan,nan
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,3284.070906401097,3284.070906401097,"[0, 2, 3, 1, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",3284.0709064010966,ps1,"{'suffix': 'ps1', 'perturbation_scheme': 'ps1'}",[],nan,nan,nan,nan,0.0004246000000001082,nan,nan,nan,nan,nan,nan
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,3284.070906401097,3284.070906401097,"[0, 2, 3, 1, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",3284.0709064010966,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",[],nan,nan,nan,nan,0.0003326999999999636,nan,nan,nan,nan,nan,nan
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,3284.070906401097,3284.070906401097,"[0, 2, 3, 1, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",3284.0709064010966,ps3,"{'suffix': 'ps3', 'perturbation_scheme': 'ps3'}",[],nan,nan,nan,nan,0.00034340000000021575,nan,nan,nan,nan,nan,nan
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,3284.070906401097,3284.070906401097,"[0, 2, 3, 1, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",3284.0709064010966,ps4,"{'suffix': 'ps4', 'perturbation_scheme': 'ps4'}",[],nan,nan,nan,nan,0.00029490000000009786,nan,nan,nan,nan,nan,nan
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,3284.070906401097,3284.070906401097,"[0, 2, 3, 1, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",3284.0709064010966,ps5,"{'suffix': 'ps5', 'perturbation_scheme': 'ps5'}",[],nan,nan,nan,nan,0.000298400000000143,nan,nan,nan,nan,nan,nan
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,3284.070906401097,3284.070906401097,"[0, 2, 3, 1, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",3284.0709064010966,ps6,"{'suffix': 'ps6', 'perturbation_scheme': 'ps6'}",[],nan,nan,nan,nan,0.0005198000000001812,nan,nan,nan,nan,nan,nan
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_DATA,local_search_heuristic_lib_python_tsp,3284.070906401097,3284.070906401097,"[0, 2, 3, 1, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",3284.0709064010966,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[],nan,nan,nan,nan,0.00022320000000020102,nan,nan,nan,nan,nan,nan
